airline,year,quarter,metric,source_type,reason_code
ALGT,2019,Q3,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALGT,2019,Q4,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALGT,2020,FY,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALGT,2020,Q1,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALGT,2020,Q2,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALGT,2020,Q3,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALGT,2020,Q4,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALGT,2021,FY,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALGT,2021,Q1,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALGT,2021,Q2,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALGT,2021,Q3,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALGT,2021,Q4,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALGT,2022,FY,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALGT,2022,Q1,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALGT,2022,Q2,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALGT,2022,Q3,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALGT,2022,Q4,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALGT,2023,FY,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALGT,2023,Q1,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALGT,2023,Q2,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALGT,2023,Q3,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALGT,2023,Q4,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALGT,2024,FY,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALGT,2024,Q1,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALGT,2024,Q2,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALGT,2024,Q3,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALGT,2024,Q4,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALGT,2025,FY,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALGT,2025,Q1,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALGT,2025,Q2,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALGT,2025,Q3,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALGT,2025,Q4,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALGT,2026,Q1,Passenger Revenue,manual_only,NO_MANUAL_ROW
ALGT,2014,FY,Profit Sharing,manual_only,NO_MANUAL_ROW
ALGT,2014,Q1,Profit Sharing,manual_only,NO_MANUAL_ROW
ALGT,2014,Q2,Profit Sharing,manual_only,NO_MANUAL_ROW
ALGT,2014,Q3,Profit Sharing,manual_only,NO_MANUAL_ROW
ALGT,2014,Q4,Profit Sharing,manual_only,NO_MANUAL_ROW
ALGT,2015,FY,Profit Sharing,manual_only,NO_MANUAL_ROW
ALGT,2015,Q1,Profit Sharing,manual_only,NO_MANUAL_ROW
ALGT,2015,Q2,Profit Sharing,manual_only,NO_MANUAL_ROW
ALGT,2015,Q3,Profit Sharing,manual_only,NO_MANUAL_ROW
ALGT,2015,Q4,Profit Sharing,manual_only,NO_MANUAL_ROW
ALGT,2016,FY,Profit Sharing,manual_only,NO_MANUAL_ROW
ALGT,2016,Q1,Profit Sharing,manual_only,NO_MANUAL_ROW
ALGT,2016,Q2,Profit Sharing,manual_only,NO_MANUAL_ROW
ALGT,2016,Q3,Profit Sharing,manual_only,NO_MANUAL_ROW
ALGT,2016,Q4,Profit Sharing,manual_only,NO_MANUAL_ROW
ALGT,2017,FY,Profit Sharing,manual_only,NO_MANUAL_ROW
ALGT,2017,Q1,Profit Sharing,manual_only,NO_MANUAL_ROW
ALGT,2017,Q2,Profit Sharing,manual_only,NO_MANUAL_ROW
ALGT,2017,Q3,Profit Sharing,manual_only,NO_MANUAL_ROW
ALGT,2017,Q4,Profit Sharing,manual_only,NO_MANUAL_ROW
ALGT,2018,FY,Profit Sharing,manual_only,NO_MANUAL_ROW
ALGT,2018,Q1,Profit Sharing,manual_only,NO_MANUAL_ROW
ALGT,2018,Q2,Profit Sharing,manual_only,NO_MANUAL_ROW
ALGT,2018,Q3,Profit Sharing,manual_only,NO_MANUAL_ROW
ALGT,2018,Q4,Profit Sharing,manual_only,NO_MANUAL_ROW
ALGT,2019,FY,Profit Sharing,manual_only,NO_MANUAL_ROW
ALGT,2019,Q1,Profit Sharing,manual_only,NO_MANUAL_ROW
ALGT,2019,Q2,Profit Sharing,manual_only,NO_MANUAL_ROW
ALGT,2019,Q3,Profit Sharing,manual_only,NO_MANUAL_ROW
ALGT,2019,Q4,Profit Sharing,manual_only,NO_MANUAL_ROW
ALGT,2020,FY,Profit Sharing,manual_only,NO_MANUAL_ROW
ALGT,2020,Q1,Profit Sharing,manual_only,NO_MANUAL_ROW
ALGT,2020,Q2,Profit Sharing,manual_only,NO_MANUAL_ROW
ALGT,2020,Q3,Profit Sharing,manual_only,NO_MANUAL_ROW
ALGT,2020,Q4,Profit Sharing,manual_only,NO_MANUAL_ROW
ALGT,2021,FY,Profit Sharing,manual_only,NO_MANUAL_ROW
ALGT,2021,Q1,Profit Sharing,manual_only,NO_MANUAL_ROW
ALGT,2021,Q2,Profit Sharing,manual_only,NO_MANUAL_ROW
ALGT,2021,Q3,Profit Sharing,manual_only,NO_MANUAL_ROW
ALGT,2021,Q4,Profit Sharing,manual_only,NO_MANUAL_ROW
ALGT,2022,FY,Profit Sharing,manual_only,NO_MANUAL_ROW
ALGT,2022,Q1,Profit Sharing,manual_only,NO_MANUAL_ROW
ALGT,2022,Q2,Profit Sharing,manual_only,NO_MANUAL_ROW
ALGT,2022,Q3,Profit Sharing,manual_only,NO_MANUAL_ROW
ALGT,2022,Q4,Profit Sharing,manual_only,NO_MANUAL_ROW
ALGT,2023,FY,Profit Sharing,manual_only,NO_MANUAL_ROW
ALGT,2023,Q1,Profit Sharing,manual_only,NO_MANUAL_ROW
ALGT,2023,Q2,Profit Sharing,manual_only,NO_MANUAL_ROW
ALGT,2023,Q3,Profit Sharing,manual_only,NO_MANUAL_ROW
ALGT,2023,Q4,Profit Sharing,manual_only,NO_MANUAL_ROW
ALGT,2024,FY,Profit Sharing,manual_only,NO_MANUAL_ROW
ALGT,2024,Q1,Profit Sharing,manual_only,NO_MANUAL_ROW
ALGT,2024,Q2,Profit Sharing,manual_only,NO_MANUAL_ROW
ALGT,2024,Q3,Profit Sharing,manual_only,NO_MANUAL_ROW
ALGT,2024,Q4,Profit Sharing,manual_only,NO_MANUAL_ROW
ALGT,2025,FY,Profit Sharing,manual_only,NO_MANUAL_ROW
ALGT,2025,Q1,Profit Sharing,manual_only,NO_MANUAL_ROW
ALGT,2025,Q2,Profit Sharing,manual_only,NO_MANUAL_ROW
ALGT,2025,Q3,Profit Sharing,manual_only,NO_MANUAL_ROW
ALGT,2025,Q4,Profit Sharing,manual_only,NO_MANUAL_ROW
ALGT,2026,Q1,Profit Sharing,manual_only,NO_MANUAL_ROW
ALGT,2014,FY,RPM,manual_only,NO_MANUAL_ROW
ALGT,2014,Q1,RPM,manual_only,NO_MANUAL_ROW
ALGT,2014,Q2,RPM,manual_only,NO_MANUAL_ROW
ALGT,2014,Q3,RPM,manual_only,NO_MANUAL_ROW
ALGT,2014,Q4,RPM,manual_only,NO_MANUAL_ROW
ALGT,2015,FY,RPM,manual_only,NO_MANUAL_ROW
ALGT,2015,Q1,RPM,manual_only,NO_MANUAL_ROW
ALGT,2015,Q2,RPM,manual_only,NO_MANUAL_ROW
ALGT,2015,Q3,RPM,manual_only,NO_MANUAL_ROW
ALGT,2015,Q4,RPM,manual_only,NO_MANUAL_ROW
ALGT,2016,FY,RPM,manual_only,NO_MANUAL_ROW
ALGT,2016,Q1,RPM,manual_only,NO_MANUAL_ROW
ALGT,2016,Q2,RPM,manual_only,NO_MANUAL_ROW
ALGT,2016,Q3,RPM,manual_only,NO_MANUAL_ROW
ALGT,2016,Q4,RPM,manual_only,NO_MANUAL_ROW
ALGT,2017,FY,RPM,manual_only,NO_MANUAL_ROW
ALGT,2017,Q1,RPM,manual_only,NO_MANUAL_ROW
ALGT,2017,Q2,RPM,manual_only,NO_MANUAL_ROW
ALGT,2017,Q3,RPM,manual_only,NO_MANUAL_ROW
ALGT,2017,Q4,RPM,manual_only,NO_MANUAL_ROW
ALGT,2018,FY,RPM,manual_only,NO_MANUAL_ROW
ALGT,2018,Q1,RPM,manual_only,NO_MANUAL_ROW
ALGT,2018,Q2,RPM,manual_only,NO_MANUAL_ROW
ALGT,2018,Q3,RPM,manual_only,NO_MANUAL_ROW
ALGT,2018,Q4,RPM,manual_only,NO_MANUAL_ROW
ALGT,2019,FY,RPM,manual_only,NO_MANUAL_ROW
ALGT,2019,Q1,RPM,manual_only,NO_MANUAL_ROW
ALGT,2019,Q2,RPM,manual_only,NO_MANUAL_ROW
ALGT,2019,Q3,RPM,manual_only,NO_MANUAL_ROW
ALGT,2019,Q4,RPM,manual_only,NO_MANUAL_ROW
ALGT,2020,FY,RPM,manual_only,NO_MANUAL_ROW
ALGT,2020,Q1,RPM,manual_only,NO_MANUAL_ROW
ALGT,2020,Q2,RPM,manual_only,NO_MANUAL_ROW
ALGT,2020,Q3,RPM,manual_only,NO_MANUAL_ROW
ALGT,2020,Q4,RPM,manual_only,NO_MANUAL_ROW
ALGT,2021,FY,RPM,manual_only,NO_MANUAL_ROW
ALGT,2021,Q1,RPM,manual_only,NO_MANUAL_ROW
ALGT,2021,Q2,RPM,manual_only,NO_MANUAL_ROW
ALGT,2021,Q3,RPM,manual_only,NO_MANUAL_ROW
ALGT,2021,Q4,RPM,manual_only,NO_MANUAL_ROW
ALGT,2022,FY,RPM,manual_only,NO_MANUAL_ROW
ALGT,2022,Q1,RPM,manual_only,NO_MANUAL_ROW
ALGT,2022,Q2,RPM,manual_only,NO_MANUAL_ROW
ALGT,2022,Q3,RPM,manual_only,NO_MANUAL_ROW
ALGT,2022,Q4,RPM,manual_only,NO_MANUAL_ROW
ALGT,2023,FY,RPM,manual_only,NO_MANUAL_ROW
ALGT,2023,Q1,RPM,manual_only,NO_MANUAL_ROW
ALGT,2023,Q2,RPM,manual_only,NO_MANUAL_ROW
ALGT,2023,Q3,RPM,manual_only,NO_MANUAL_ROW
ALGT,2023,Q4,RPM,manual_only,NO_MANUAL_ROW
ALGT,2024,FY,RPM,manual_only,NO_MANUAL_ROW
ALGT,2024,Q1,RPM,manual_only,NO_MANUAL_ROW
ALGT,2024,Q2,RPM,manual_only,NO_MANUAL_ROW
ALGT,2024,Q3,RPM,manual_only,NO_MANUAL_ROW
ALGT,2024,Q4,RPM,manual_only,NO_MANUAL_ROW
ALGT,2025,FY,RPM,manual_only,NO_MANUAL_ROW
ALGT,2025,Q1,RPM,manual_only,NO_MANUAL_ROW
ALGT,2025,Q2,RPM,manual_only,NO_MANUAL_ROW
ALGT,2025,Q3,RPM,manual_only,NO_MANUAL_ROW
